title,author,rating,rating_count,description,isbn,image,url_from_jsonld,book_url,pages,published_year,language,genres
The Picture of Dorian Gray,Oscar Wilde,4.13,1888735,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg,,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,272.0,,,"Classics, Fiction, Horror, Gothic, Fantasy"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3448544,,9780786838653,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,377.0,,,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade"
Wuthering Heights,Emily Brontë,3.9,2075739,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg,,https://www.goodreads.com/book/show/6185.Wuthering_Heights,464.0,,,"Classics, Fiction, Romance, Gothic, Historical Fiction"
The Giving Tree,Shel Silverstein,4.39,1238108,,9780060256654,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1769901237i/370493.jpg,,https://www.goodreads.com/book/show/370493.The_Giving_Tree,64.0,,,"Childrens, Classics, Fiction, Picture Books, Poetry"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3805184,,9780439686525,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,870.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic"
The Perks of Being a Wallflower,Stephen Chbosky,4.24,2006843,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg,,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,213.0,,,"Young Adult, Fiction, Contemporary, Classics, Coming Of Age"
Gone with the Wind,Margaret Mitchell,4.31,1257974,,9780446365383,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,1037.0,,,"Classics, Historical Fiction, Fiction, Romance, Historical"
The Little Prince,Antoine de Saint-Exupéry,4.33,2488745,,9780152023980,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,,https://www.goodreads.com/book/show/157993.The_Little_Prince,96.0,,,"Classics, Fiction, Fantasy, Childrens, France"
Jane Eyre,Charlotte Brontë,4.16,2330437,,9780142437209,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,,https://www.goodreads.com/book/show/10210.Jane_Eyre,532.0,,,"Classics, Fiction, Romance, Gothic, Historical Fiction"
The Great Gatsby,F. Scott Fitzgerald,3.93,5935549,,9780743273565,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671.jpg,,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,180.0,,,"Classics, Fiction, School, Historical Fiction, Romance"
Crime and Punishment,Fyodor Dostoevsky,4.29,1086646,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg,,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,671.0,,,"Classics, Fiction, Russia, Russian Literature, Literature"
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.94,2528748,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968.jpg,,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,489.0,,,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,610458,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213.jpg,,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,239.0,,,"Classics, Fantasy, Fiction, Childrens, Young Adult"
