title,author,rating,rating_count,description,isbn,image,book_url,pages,published_year,language,genres,source
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.94,2528748.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968.jpg,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,489.0,,,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction",web_scraping
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,610458.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213.jpg,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,239.0,,,"Classics, Fantasy, Fiction, Childrens, Young Adult",web_scraping
"Divergent (Divergent, #1)",Veronica Roth,4.13,4389498.0,,9780062024039.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,https://www.goodreads.com/book/show/13335037-divergent,487.0,,,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction",web_scraping
Les Misérables,Victor Hugo,4.21,845250.0,,9780451525260.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280.jpg,https://www.goodreads.com/book/show/24280.Les_Mis_rables,1463.0,,,"Classics, Fiction, Historical Fiction, Literature, France",web_scraping
Memoirs of a Geisha,Arthur Golden,4.16,2113180.0,,9781400096893.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,503.0,,,"Fiction, Historical Fiction, Romance, Classics, Historical",web_scraping
The Alchemist,Paulo Coelho,3.92,3584224.0,,9780061122415.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg,https://www.goodreads.com/book/show/865.The_Alchemist,197.0,,,"Fiction, Classics, Fantasy, Philosophy, Self Help",web_scraping
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,1116658.0,,9780451528827.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,320.0,,,"Classics, Fiction, Young Adult, Historical Fiction, Childrens",web_scraping
Lord of the Flies,William Golding,3.7,3209108.0,,9780140283334.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,182.0,,,"Classics, Fiction, Young Adult, School, Dystopia",web_scraping
Romeo and Juliet,William Shakespeare,3.74,2827910.0,,9780743477116.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,281.0,,,"Classics, Plays, Fiction, Romance, School",web_scraping
Brave New World,Aldous Huxley,3.99,2083398.0,,9780060929879.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World,288.0,,,"Classics, Fiction, Science Fiction, Dystopia, Literature",web_scraping
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker&apos;s Guide to the Galaxy, #1)",Douglas Adams,4.22,2020690.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,216.0,,,"Science Fiction, Fiction, Classics, Humor, Fantasy",web_scraping
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2172493.0,,9781416914280.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,https://www.goodreads.com/book/show/256683.City_of_Bones,485.0,,,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy",web_scraping
The Help,Kathryn Stockett,4.47,3027931.0,,9780399155345.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,https://www.goodreads.com/book/show/4667024-the-help,451.0,,,"Fiction, Historical Fiction, Book Club, Historical, Classics",web_scraping
