Genre,Frequency
England,2
Classic,2
Catholic Church,2
Adultery,2
Cancer,2
Aesthetics,2
Imaginary wars and battles,2
Textbooks,2
Country life,2
series:Luz_e_Escuridão,2
Angels,2
English Children's fiction,1
Guardian and ward,1
Vogons,1
Nobility in fiction,1
1936-1937,1
human shields,1
Master and servant,1
Moscow,1
nyt:paperback_books=2012-02-25,1
Sko nlitteratur,1
Moscow Trials,1
Spanish language,1
Canadian fantasy fiction,1
Gender identity in fiction,1
Canadian authors,1
brothels,1
rifles,1
Narnia (Imaginary place),1
Spanish language materials,1
brain tumors,1
Shirley,1
Pop-up books,1
Poor families,1
Utilitarianism,1
Specimens,1
Mines and mineral resources,1
Folk literature,1
Folklore,1
Murder in fiction,1
Gothic revival (Literature),1
American Short stories,1
psychological thriller,1
dark fantasy,1
Frankenstein (Fictitious character),1
Frankenstein's monster (Fictitious character),1
Novela erótica,1
Novellas,1
the Blitz,1
fauns,1
Turkish Delight,1
detective fiction,1
mystery,1
murder,1
People with visual disabilities,1
Return of the native (Hardy,1
Thomas),1
Buddhist Priests,1
Chinese Folk literature,1
Serie:Percy_Jackson_and_the_Olympians,1
Religious,1
Manners and customs in fiction,1
France -- History -- 19th century -- Fiction,1
Russian literature,1
Dune (Imaginary place),1
Comics & graphic novels,1
Early memories,1
American Horror tales,1
Romance brasileiro,1
Deception,1
Love stories,1
Moški in ženske,1
Captain Hastings (Fictitious character),1
Crime Fiction,1
Fourth dimension,1
English Translations,1
Novela psicológica,1
Philosophical Novels,1
Psychiatrists,1
Wealth,1
Hobbits,1
The Lord of the Rings,1
Louisa May Alcott,1
Children's,1
Chilean literature,1
Spanish American literature,1
form:novel,1
genre:tragedy,1
genre:gothic,1
comic science fiction,1
Reminiscing in old age,1
American Detective and mystery stories,1
Wishes,1
Opera,1
Popular works,1
Time,1
Separation (Psychology),1
Doctrinal Theology,1
Sanatoriums,1
Théorie de la,1
Connaissance,1
Storytellers,1
Plague in literature,1
School stories,1
collections & anthologies,1
Brown,1
father (fictitious character),1
action & adventure,1
Composers,1
Imaginary Voyages,1
Theory of Knowledge,1
Anti-fascist movements,1
Newspaper editors,1
Russian fiction,1
Politics in fiction,1
Bildungsromans,1
animals,1
Sanskrit Lyric poetry,1
Atlantis,1
Dinosaurs,1
England in fiction,1
Working class families,1
Sanskrit Love poetry,1
Life,1
Imperialism,1
Science fiction,1
Prostitutes,1
Letters,1
Scottish Fantasy fiction,1
horror,1
People with disabilities,1
Physically handicapped,1
Ethics,1
Expositions,1
Oz (Imaginary place),1
English Ghost stories,1
English Horror tales,1
Artistic Anatomy,1
Divorce,1
Irish,1
Lamas,1
Philanthropists,1
Wessex (england),1
Sisters,1
John Carter (Fictitious character),1
Anatomy,1
Anatomie humaine,1
Atomic Bomb,1
English Science fiction,1
cats,1
Mummies,1
humor,1
Politicians,1
Roman pour la jeunesse,1
Litterature fantastique,1
Fiction Classics,1
Mental Depression,1
Nuclear warfare,1
Western Civilization,1
English Erotic stories,1
Fairies,1
arthur machen,1
Philip Marlowe (Fictitious character),1
20 av. J.,1
Human-computer interaction,1
Computers,1
Fiction in Spanish,1
Rosemary,1
C.,1
Swordsmen,1
